,nodeA,nodeB
0,0,0
1,0,99
2,0,111
3,0,381
4,0,415
5,0,514
6,0,585
7,0,690
8,0,691
9,0,783
10,0,784
11,0,954
12,1,153
13,1,732
14,1,1937
15,2177,2903
16,1011,1034
17,1011,2028
18,1011,2029
19,2179,2200
20,2,962
21,1012,2181
22,1012,2031
23,1013,1417
24,1013,1427
25,1013,1545
26,1013,2024
27,1014,1059
28,1014,1365
29,1014,1378
30,1015,1236
31,1015,1439
32,1015,1440
33,1015,2093
34,2183,2677
35,2183,845
36,2183,3156
37,1016,2138
38,3,634
39,2184,2306
40,2184,2356
41,2185,2539
42,1017,1264
43,1017,1549
44,1017,591
45,1018,1524
46,4,588
47,2186,3139
48,1019,609
49,1019,2064
50,2187,2666
51,5,36
52,5,63
53,5,97
54,5,603
55,5,949
56,1021,1176
57,6,64
58,6,682
59,1022,1907
60,1023,1875
61,2188,3300
62,1024,1527
63,2189,2303
64,2189,2634
65,2190,3145
66,8,868
67,8,1986
68,1029,1100
69,1029,1109
70,1029,1248
71,2192,2488
72,1030,1244
73,1031,1487
74,1031,1488
75,1031,1645
76,1031,1872
77,1032,2117
78,9,158
79,9,202
80,9,260
81,9,559
82,9,820
83,9,970
84,11,387
85,11,945
86,1033,1759
87,1033,2014
88,1033,2015
89,1034,1665
90,1034,1666
91,1035,1491
92,1036,1485
93,1037,1042
94,1037,1309
95,1037,1679
96,2195,2195
97,2195,2209
98,2196,55
99,2196,3279
100,2197,2504
101,2198,2198
102,2199,3025
103,1038,1107
104,1038,1174
105,1038,1404
106,1038,1536
107,1038,1636
108,1038,1682
109,1038,1769
110,1039,1212
111,1040,1076
112,1040,1078
113,1040,1309
114,1040,1679
115,1041,2036
116,2201,2201
117,2202,2460
118,2202,779
119,2202,828
120,2202,3162
121,1042,1037
122,1042,1679
123,2203,2911
124,1043,1138
125,1043,1828
126,1043,1893
127,1043,2139
128,1043,2165
129,2205,2899
130,2205,2900
131,1044,1274
132,1045,1453
133,1045,1704
134,1045,1705
135,1045,1944
136,1045,1954
137,1045,1955
138,1045,1980
139,1045,2002
140,1046,1286
141,1046,1302
142,1046,1521
143,1046,1532
144,1046,1891
145,1046,1902
146,1046,2024
147,1047,1127
148,1047,1442
149,1047,1613
150,1047,1636
151,1047,1679
152,1047,1776
153,2206,2675
154,2206,3099
155,1048,1028
156,2207,2632
157,2207,2855
158,1049,1049
159,1050,1168
160,1050,1254
161,12,508
162,12,1741
163,12,777
164,1051,1253
165,1051,2121
166,2210,2275
167,2210,1707
168,1054,1491
169,1055,1961
170,1055,1962
171,1055,1963
172,13,250
173,14,868
174,2211,2326
175,1056,1056
176,1056,1161
177,2212,2423
178,2212,2474
179,2212,3132
180,1057,1254
181,16,145
182,2213,2244
183,2213,3258
184,1058,1236
185,1058,2024
186,2214,2845
187,2214,976
188,1059,1014
189,1059,1365
190,1059,1378
191,18,59
192,20,6
193,2217,3037
194,1060,1123
195,2218,3194
196,21,1678
197,21,680
198,22,118
199,22,303
200,22,335
201,22,455
202,22,469
203,22,599
204,22,668
205,22,899
206,2219,2391
207,2220,2220
208,2221,2513
209,2221,2665
210,2221,3115
211,23,309
212,23,704
213,24,127
214,24,392
215,24,406
216,24,685
217,24,947
218,24,952
219,1061,1943
220,1063,1229
221,1063,1707
222,2222,2567
223,1064,1811
224,25,69
225,25,357
226,25,655
227,25,683
228,25,888
229,2224,2779
230,2224,2780
231,27,393
232,1065,1093
233,2225,2398
234,2226,2341
235,1066,1171
236,1066,1961
237,1066,1962
238,1066,1963
239,2228,3299
240,1067,1236
241,1067,1251
242,2229,2597
243,2231,2231
244,1068,1209
245,1068,235
246,1068,1515
247,1068,592
248,1068,1718
249,1068,2115
250,2232,2540
251,2232,3033
252,2232,3203
253,2233,2698
254,2233,3158
255,2235,2235
256,2235,2992
257,1070,1236
258,1071,1744
259,28,48
260,28,54
261,28,105
262,28,106
263,28,153
264,28,633
265,28,987
266,2236,2193
267,30,1203
268,30,1239
269,30,1282
270,30,1650
271,30,1788
272,30,1991
273,30,2064
274,30,2149
275,1073,1075
276,29,740
277,29,793
278,29,818
279,29,859
280,31,2202
281,31,1282
282,31,1357
283,31,297
284,31,1489
285,31,2665
286,31,2774
287,31,2812
288,31,1740
289,31,646
290,31,732
291,31,3028
292,31,779
293,31,882
294,31,2082
295,1075,1169
296,1076,1078
297,1077,1527
298,1078,1190
299,1078,1600
300,32,592
301,32,665
302,32,686
303,32,687
304,32,697
305,32,845
306,1079,1227
307,1079,1245
308,1079,1651
309,1079,1742
310,1079,1823
311,1079,1931
312,2241,2691
313,1080,1189
314,1080,1195
315,1080,1583
316,1081,1141
317,1081,1950
318,2242,2665
319,33,260
320,2243,2324
321,2243,3074
322,1083,1083
323,1083,1196
324,1083,1390
325,1083,1439
326,1083,1440
327,1083,1912
328,1083,1939
329,1083,2093
330,34,180
331,34,366
332,34,1587
333,34,573
334,34,697
335,34,828
336,34,829
337,2245,2310
338,2245,2390
339,2245,2483
340,1084,2158
341,1086,1480
342,1088,1236
343,35,92
344,35,500
345,1090,1107
346,1090,1174
347,1090,1404
348,1090,1608
349,2246,2246
350,2246,3034
351,1092,2009
352,37,1267
353,37,182
354,37,2464
355,37,310
356,37,444
357,37,1724
358,37,828
359,1093,2026
360,2248,2746
361,1094,1317
362,1094,1676
363,39,1010
364,40,146
365,40,148
366,40,177
367,40,411
368,40,480
369,40,621
370,40,625
371,1096,1490
