,node,label
0,0,0
1,1,1
2,2,2
3,3,2
4,4,3
5,5,3
6,6,4
7,7,0
8,8,0
9,9,4
10,10,0
11,11,5
12,12,3
13,13,6
14,14,0
15,15,0
16,16,2
17,17,0
18,18,0
19,19,0
20,20,4
21,21,2
22,22,5
23,23,3
24,24,2
25,25,4
26,26,0
27,27,3
28,28,0
29,29,1
30,30,6
31,31,0
32,32,6
33,33,0
34,34,2
35,35,2
36,36,0
37,37,2
38,38,5
39,39,2
40,40,4
41,41,3
42,42,5
43,43,0
44,44,6
45,45,2
46,46,0
47,47,6
48,48,3
49,49,6
50,50,6
51,51,3
52,52,4
53,53,5
54,54,4
55,55,5
56,56,4
57,57,2
58,58,0
59,59,0
60,60,2
61,61,6
62,62,3
63,63,2
64,64,6
65,65,5
66,66,6
67,67,3
68,68,0
69,69,6
70,70,4
71,71,3
72,72,0
73,73,2
74,74,3
75,75,6
76,76,3
77,77,0
78,78,4
79,79,4
80,80,0
81,81,3
82,82,2
83,83,0
84,84,3
85,85,2
86,86,1
87,87,1
88,88,4
89,89,4
90,90,0
91,91,0
92,92,2
93,93,3
94,94,3
95,95,3
96,96,6
97,97,0
98,98,4
99,99,3
100,100,5
101,101,0
102,102,0
103,103,2
104,104,0
105,105,3
106,106,1
107,107,3
108,108,3
109,109,4
110,110,0
111,111,0
112,112,0
113,113,0
114,114,4
115,115,3
116,116,6
117,117,3
118,118,2
119,119,1
120,120,5
121,121,0
122,122,0
123,123,0
124,124,0
125,125,0
126,126,3
127,127,0
128,128,2
129,129,5
130,130,4
131,131,3
132,132,2
133,133,0
134,134,0
135,135,1
136,136,1
137,137,3
138,138,3
139,139,5
140,140,4
141,141,5
142,142,0
143,143,0
144,144,0
145,145,5
146,146,0
147,147,6
148,148,2
149,149,6
150,150,6
151,151,4
152,152,0
153,153,0
154,154,0
155,155,3
156,156,1
157,157,4
158,158,1
159,159,4
160,160,0
161,161,3
162,162,2
163,163,5
164,164,4
165,165,1
166,166,6
167,167,2
168,168,5
169,169,0
170,170,3
171,171,4
172,172,6
173,173,2
174,174,0
175,175,0
176,176,1
177,177,4
178,178,1
179,179,0
180,180,0
181,181,4
182,182,3
183,183,6
184,184,1
185,185,3
186,186,2
187,187,0
188,188,5
189,189,5
190,190,0
191,191,5
192,192,0
193,193,0
194,194,0
195,195,1
196,196,1
197,197,2
198,198,0
199,199,4
200,200,0
201,201,0
202,202,0
203,203,0
204,204,0
205,205,0
206,206,0
207,207,0
208,208,4
209,209,5
210,210,2
211,211,3
212,212,0
213,213,2
214,214,0
215,215,6
216,216,1
217,217,0
218,218,3
219,219,5
220,220,2
221,221,6
222,222,6
223,223,1
224,224,1
225,225,6
226,226,0
227,227,4
228,228,5
229,229,0
230,230,0
231,231,6
232,232,0
233,233,0
234,234,0
235,235,0
236,236,6
237,237,5
238,238,0
239,239,2
240,240,5
241,241,0
242,242,4
243,243,5
244,244,0
245,245,6
246,246,3
247,247,2
248,248,3
249,249,1
250,250,3
251,251,4
252,252,2
253,253,0
254,254,0
255,255,4
256,256,6
257,257,0
258,258,0
259,259,6
260,260,3
261,261,0
262,262,6
263,263,0
264,264,4
265,265,5
266,266,6
267,267,4
268,268,0
269,269,0
270,270,3
271,271,0
272,272,0
273,273,5
274,274,2
275,275,3
276,276,3
277,277,2
278,278,3
279,279,3
280,280,3
281,281,2
282,282,0
283,283,0
284,284,6
285,285,6
286,286,1
287,287,4
288,288,6
289,289,6
290,290,5
291,291,0
292,292,3
293,293,0
294,294,2
295,295,2
296,296,4
297,297,0
298,298,2
299,299,4
300,300,6
301,301,0
302,302,1
303,303,6
304,304,0
305,305,2
306,306,2
307,307,1
308,308,4
309,309,5
310,310,0
311,311,0
312,312,3
313,313,6
314,314,1
315,315,0
316,316,1
317,317,4
318,318,6
319,319,4
320,320,0
321,321,2
322,322,4
323,323,4
324,324,3
325,325,3
326,326,3
327,327,3
328,328,0
329,329,5
330,330,0
331,331,0
332,332,3
333,333,2
334,334,4
335,335,1
336,336,0
337,337,0
338,338,0
339,339,3
340,340,0
341,341,0
342,342,3
343,343,5
344,344,1
345,345,3
346,346,0
347,347,3
348,348,1
349,349,0
350,350,0
351,351,0
352,352,3
353,353,0
354,354,0
355,355,0
356,356,0
357,357,5
358,358,3
359,359,0
360,360,0
361,361,5
362,362,0
363,363,0
364,364,0
365,365,0
366,366,0
367,367,2
368,368,0
369,369,0
370,370,2
371,371,3
372,372,5
373,373,1
374,374,2
375,375,4
376,376,3
377,377,0
378,378,4
379,379,1
380,380,5
381,381,4
382,382,4
383,383,0
384,384,0
385,385,2
386,386,0
387,387,0
388,388,0
389,389,3
390,390,5
391,391,0
392,392,3
393,393,0
394,394,0
395,395,5
396,396,1
397,397,0
398,398,3
399,399,0
400,400,4
401,401,3
402,402,5
403,403,5
404,404,0
405,405,0
406,406,0
407,407,0
408,408,0
409,409,0
410,410,2
411,411,0
412,412,2
413,413,0
414,414,6
415,415,5
416,416,3
417,417,1
418,418,4
419,419,3
420,420,0
421,421,4
422,422,5
423,423,3
424,424,4
425,425,2
426,426,1
427,427,0
428,428,1
429,429,3
430,430,4
431,431,4
432,432,1
433,433,1
434,434,6
435,435,0
436,436,4
437,437,0
438,438,4
439,439,0
440,440,2
441,441,6
442,442,3
443,443,0
444,444,0
445,445,6
446,446,2
447,447,0
448,448,5
449,449,6
450,450,3
451,451,2
452,452,3
453,453,4
454,454,6
455,455,2
456,456,4
457,457,6
458,458,0
459,459,4
460,460,2
461,461,0
462,462,0
463,463,2
464,464,3
465,465,2
466,466,2
467,467,3
468,468,3
469,469,0
470,470,6
471,471,2
472,472,2
473,473,2
474,474,0
475,475,5
476,476,0
477,477,2
478,478,6
479,479,6
480,480,0
481,481,4
482,482,6
483,483,2
484,484,3
485,485,3
486,486,6
487,487,0
488,488,4
489,489,0
490,490,2
491,491,3
492,492,2
493,493,5
494,494,0
495,495,3
496,496,0
497,497,4
498,498,3
499,499,3
500,500,2
501,501,0
502,502,2
503,503,0
504,504,0
505,505,0
506,506,2
507,507,4
508,508,4
509,509,1
510,510,3
511,511,3
512,512,0
513,513,3
514,514,4
515,515,3
516,516,0
517,517,4
518,518,4
519,519,0
520,520,0
521,521,1
522,522,4
523,523,5
524,524,0
525,525,4
526,526,0
527,527,0
528,528,0
529,529,0
530,530,5
531,531,0
532,532,3
533,533,3
534,534,6
535,535,4
536,536,0
537,537,5
538,538,5
539,539,6
540,540,6
541,541,6
542,542,0
543,543,6
544,544,0
545,545,0
546,546,5
547,547,0
548,548,2
549,549,4
550,550,4
551,551,2
552,552,2
553,553,0
554,554,2
555,555,4
556,556,4
557,557,3
558,558,3
559,559,2
560,560,4
561,561,0
562,562,2
563,563,2
564,564,2
565,565,2
566,566,2
567,567,2
568,568,2
569,569,4
570,570,0
571,571,4
572,572,0
573,573,3
574,574,4
575,575,2
576,576,0
577,577,3
578,578,6
579,579,0
580,580,6
581,581,6
582,582,6
583,583,6
584,584,3
585,585,1
586,586,0
587,587,0
588,588,2
589,589,0
590,590,0
591,591,4
592,592,0
593,593,6
594,594,6
595,595,0
596,596,4
597,597,1
598,598,1
599,599,0
600,600,0
601,601,2
602,602,5
603,603,6
604,604,0
605,605,0
606,606,5
607,607,0
608,608,0
609,609,0
610,610,0
611,611,0
612,612,6
613,613,0
614,614,4
615,615,4
616,616,0
617,617,0
618,618,4
619,619,3
620,620,0
621,621,2
622,622,0
623,623,3
624,624,4
625,625,0
626,626,0
627,627,0
628,628,0
629,629,6
630,630,0
631,631,0
632,632,3
633,633,2
