,nodeA,nodeB
0,10816,18459
1,8069,3834
2,297,16724
3,8613,10896
4,9238,12701
5,19091,8352
6,380,10294
7,11667,12865
8,18906,17958
9,6946,19081
10,15369,3116
11,4684,18086
12,17984,16940
13,5386,1757
14,15740,13553
15,16274,19180
16,3700,4673
17,11025,19336
18,15413,5674
19,3112,9574
20,12086,10104
21,890,5255
22,1931,10580
23,17425,3656
24,18712,13862
25,15223,8294
26,13436,3798
27,2539,12239
28,18556,8171
29,6541,11828
30,16047,18931
31,12265,14615
32,6367,5511
33,13143,6351
34,9725,17231
35,19280,2511
36,3930,10134
37,3058,18049
38,1572,3807
39,17964,9357
40,18256,5591
41,8372,7292
42,7126,10968
43,24,12306
44,10609,9396
45,3297,4296
46,11260,1210
47,19519,10095
48,4816,7745
49,17743,11942
50,3581,12543
51,18520,16198
52,12144,17280
53,16049,1993
54,253,7343
55,18617,16163
56,13151,16775
57,6541,2560
58,8625,19147
59,13347,9139
60,2414,17904
61,14070,1484
62,19396,16627
63,14070,7749
64,10982,667
65,3922,13309
66,12011,3394
67,17714,1820
68,9010,5555
69,10056,16500
70,13095,3383
71,4097,1303
72,11669,6757
73,19681,14256
74,18039,12262
75,19280,8141
76,7596,9642
77,2601,6289
78,8592,13369
79,10056,3988
80,9321,8955
81,3115,5966
82,17510,7980
83,17536,8486
84,7083,16512
85,4724,2968
86,4441,8918
87,14424,3654
88,19182,12515
89,7822,6956
90,18130,4627
91,10408,5736
92,3773,10959
93,2065,154
94,15914,12127
95,6233,7561
96,4093,2373
97,19552,1602
98,12605,17970
99,13487,11389
100,17728,3401
101,18869,18763
102,19645,11362
103,13349,7117
104,11990,6009
105,17190,3000
106,4490,1921
107,2991,17528
108,12309,12701
109,13535,12279
110,19473,3051
111,15197,6942
112,6942,2894
113,2866,15214
114,18322,16528
115,3339,1497
116,7623,7770
117,9166,8258
118,16049,12223
119,18454,13220
120,10340,18854
121,17092,9294
122,3810,13485
123,19550,9800
124,3700,19117
125,6494,15427
126,4449,12264
127,18014,5336
128,4062,5635
129,13325,14859
130,6807,3453
131,6095,3834
132,2737,533
133,13677,842
134,323,9158
135,858,8397
136,3203,14741
137,11061,4382
138,8124,9811
139,9670,18276
140,5175,16712
141,4071,9011
142,9214,15200
143,16426,13389
144,17464,4722
145,14838,4064
146,14436,4212
147,5663,19586
148,1263,14782
149,7615,18045
150,9713,15773
151,12801,18267
152,1755,1517
153,18974,825
154,2504,8697
155,18698,14587
156,3055,8094
157,912,9461
158,19393,6074
159,17591,1971
160,18725,15916
161,60,11169
162,14814,3815
163,4030,1199
164,8149,238
165,16701,4624
166,15738,10621
167,15487,7324
168,9338,13574
169,8235,12665
170,8694,15490
171,5450,3942
172,13415,9143
173,6165,536
174,17796,7609
175,18386,16180
176,16439,8056
177,15812,3157
178,11770,17403
179,13459,8321
180,703,6712
181,1335,18310
182,2102,13987
183,5774,15066
184,7134,10028
185,17318,8082
186,7570,9686
187,2727,12961
188,4222,3730
189,16048,9166
190,3661,4087
191,635,13820
192,17005,858
193,4231,8393
194,5969,9148
195,8699,3922
196,10865,1993
197,6942,7481
198,1434,6897
199,3015,11037
200,17378,2795
201,6085,16793
202,11588,13578
203,5044,4475
204,15974,15077
205,6565,7237
206,19048,11276
207,13970,14222
208,12978,936
209,6942,4406
210,10425,5717
211,15518,8797
212,4222,9078
213,18920,4370
214,3932,9386
215,13294,13450
216,16574,16224
217,6436,17226
218,9937,3360
219,19610,16246
220,309,17011
221,11282,11850
222,7301,2008
223,6085,15992
224,5168,11045
225,6549,9943
226,2003,17902
227,18553,2865
228,11037,7784
229,17378,9640
230,18735,3301
231,7240,13853
232,19529,2877
233,1939,9601
234,3798,2045
235,4042,11441
236,14513,8211
237,12255,8498
238,1207,706
239,3925,14576
240,4166,9396
241,11077,13844
242,17738,18859
243,10984,1491
244,13211,2865
245,13059,5870
246,15193,17342
247,586,5276
248,86,10853
249,7057,632
250,19250,16130
251,10209,2994
252,18491,11527
253,7637,11644
254,3945,315
255,4031,17485
256,4099,6151
257,1744,19644
258,18787,1637
259,603,7018
260,5492,17339
261,3495,17435
262,14131,1100
263,17261,15561
264,1495,18583
265,15812,13927
266,10627,8049
267,8260,18395
268,3148,19221
269,11592,2503
270,17799,2289
271,8929,3437
272,2940,8221
273,8155,12974
274,4879,18053
275,14786,17476
276,7819,8420
277,8471,4898
278,13963,6956
279,16741,6445
280,16574,13205
281,1808,372
282,15011,10568
283,11262,1397
284,18,5559
285,5805,1562
286,2265,8291
287,9238,2353
288,2156,6298
289,6986,10094
290,15929,7897
291,15142,9015
292,6689,2451
293,12217,2034
294,5805,11295
295,17711,18819
296,19048,9219
297,2690,5203
298,13551,11781
299,5879,19198
300,17214,16703
301,14421,8697
302,7213,10355
303,9129,11060
304,8534,19650
305,7829,4248
306,6103,5351
307,16991,15696
308,18453,11519
309,11736,8548
310,5450,4231
311,1482,5466
312,5007,3404
313,18466,3773
314,19557,9838
315,1210,6302
316,775,994
317,12170,909
318,8634,17967
319,2227,3052
320,3617,315
321,18016,14438
322,2737,15203
323,18385,6226
324,7876,5530
325,5422,9213
326,5613,12913
327,17207,269
328,8928,6751
329,6095,3922
330,7671,19586
331,12499,5870
332,10830,10295
333,3858,7458
334,3713,414
335,6103,1621
336,10909,10884
337,15267,16561
338,18408,10165
339,4152,4611
340,15956,6464
341,1346,4643
342,17944,1226
343,18277,8716
344,15312,10956
345,14300,19223
346,9300,178
347,9547,19140
348,19687,8371
349,4259,4686
350,4884,9420
351,3061,647
352,14595,19539
353,17224,9476
354,8538,9991
355,6,15756
356,7616,1439
357,365,11655
358,16286,4237
359,2104,7185
360,19074,1744
361,11272,16035
362,2261,11392
363,15533,13788
364,7393,6715
365,3222,19638
366,12569,354
367,18553,19636
368,17004,9085
369,11797,15354
370,13088,7478
371,16020,9226
372,7421,1100
373,12569,3636
374,2630,733
375,3182,698
376,16515,9573
377,12388,12457
378,14405,4143
379,9691,5724
380,17941,10341
381,19018,5700
382,14079,14708
383,13868,18393
384,3168,4928
385,19578,688
386,17075,10209
387,2509,11381
388,1954,4832
389,4637,2820
390,11818,17012
391,17438,11677
392,14985,15416
393,17993,13566
394,11889,12603
395,11942,3124
396,12377,6384
397,15192,8178
398,12117,16703
399,14652,18463
400,15718,14724
401,17142,13790
402,12117,6158
403,3362,18433
404,19476,12784
405,757,12877
406,5879,1700
407,17771,14403
408,8682,10523
409,17516,9873
410,9780,10223
411,14070,11957
412,14085,7324
413,9659,12622
414,5013,18436
415,11223,1048
416,9759,12235
417,6538,8357
418,17068,11858
419,15405,7133
420,15243,16517
421,7258,8064
422,19586,15881
423,11497,19022
424,5354,9154
425,7052,9180
426,18594,9156
427,14327,19115
428,7857,15266
429,2884,19694
430,2420,9944
431,9262,7736
432,11313,11060
433,10911,4576
434,17204,12353
435,13023,15323
436,4071,19515
437,2032,16517
438,14879,15905
439,14773,7969
440,6541,18782
441,1272,15510
442,16164,17547
443,7092,3834
444,13682,3865
445,7851,14409
446,15314,12472
447,13658,1168
448,2679,2067
449,2026,8847
450,18311,267
451,7456,5051
452,18950,18520
453,3168,10369
454,5900,1798
455,12129,14046
456,1329,6810
457,8209,5037
458,13939,622
459,4093,5068
460,13726,12622
461,17016,2971
462,9304,7075
463,6727,6676
464,16299,13446
465,9311,16212
466,10806,13853
467,2422,2505
468,2102,4418
469,6277,12565
470,14814,9484
471,13726,315
472,4490,18670
473,14940,15487
474,2234,1195
475,15982,2698
476,8935,5872
477,12264,18823
478,16638,6272
479,16487,8105
480,11161,856
481,17761,16695
482,2518,17459
483,722,5641
484,16286,11299
485,785,13132
486,18356,12840
487,14854,8768
488,1203,14300
489,15587,3227
490,14434,2523
491,18920,10499
492,7080,14164
493,12151,16102
494,16078,18103
495,8928,10512
496,5230,12877
497,671,14422
498,13729,9916
499,18131,18245
500,16576,17802
501,16384,10086
502,18635,1452
503,14272,12251
504,16011,15544
505,9550,920
506,10122,11259
507,7919,10703
508,11399,16641
509,18822,4306
510,3933,8960
511,19304,5120
512,8487,12302
513,11332,16041
514,4731,8875
515,2801,1764
516,10526,4005
517,5980,6553
518,13459,13696
519,18332,3216
520,15334,13445
521,667,2045
522,16149,3328
523,10274,8584
524,17979,9996
525,3116,18739
526,19274,12156
527,9894,5723
528,7895,9628
529,7738,1881
530,17264,10025
531,1861,16249
532,11282,19658
533,10762,8940
534,5126,6956
535,1137,1092
536,17694,8244
537,10062,17251
538,2931,1620
539,17005,12746
540,14952,14694
541,9867,16824
542,19072,3038
543,2488,12818
544,15911,2615
545,16774,1224
546,15389,5896
547,1272,11629
548,15600,16573
549,17080,14018
