,node,label
0,0,0
1,1,0
2,2,0
3,3,1
4,4,0
5,5,0
6,6,2
7,7,2
8,8,2
9,9,1
10,10,0
11,11,2
12,12,0
13,13,2
14,14,2
15,15,1
16,16,0
17,17,2
18,18,2
19,19,2
20,20,1
21,21,2
22,22,2
23,23,0
24,24,1
25,25,2
26,26,1
27,27,2
28,28,0
29,29,2
30,30,0
31,31,1
32,32,2
33,33,2
34,34,1
35,35,0
36,36,2
37,37,1
38,38,2
39,39,1
40,40,0
41,41,2
42,42,2
43,43,1
44,44,1
45,45,1
46,46,0
47,47,1
48,48,2
49,49,1
50,50,2
51,51,1
52,52,2
53,53,1
54,54,2
55,55,2
56,56,2
57,57,2
58,58,1
59,59,1
60,60,1
61,61,2
62,62,0
63,63,1
64,64,1
65,65,2
66,66,0
67,67,1
68,68,1
69,69,1
70,70,2
71,71,1
72,72,1
73,73,1
74,74,2
75,75,1
76,76,1
77,77,0
78,78,2
79,79,1
80,80,2
81,81,2
82,82,1
83,83,2
84,84,1
85,85,2
86,86,1
87,87,1
88,88,0
89,89,2
90,90,0
91,91,2
92,92,2
93,93,1
94,94,1
95,95,0
96,96,0
97,97,0
98,98,0
99,99,1
100,100,2
101,101,2
102,102,0
103,103,2
104,104,0
105,105,2
106,106,1
107,107,0
108,108,2
109,109,0
110,110,1
111,111,1
112,112,1
113,113,1
114,114,1
115,115,2
116,116,0
117,117,1
118,118,2
119,119,1
120,120,2
121,121,1
122,122,0
123,123,1
124,124,0
125,125,0
126,126,1
127,127,0
128,128,0
129,129,1
130,130,1
131,131,2
132,132,2
133,133,2
134,134,2
135,135,0
136,136,2
137,137,2
138,138,0
139,139,2
140,140,0
141,141,1
142,142,2
143,143,1
144,144,2
145,145,1
146,146,2
147,147,1
148,148,1
149,149,2
150,150,1
151,151,2
152,152,2
153,153,1
154,154,1
155,155,0
156,156,0
157,157,1
158,158,1
159,159,1
160,160,2
161,161,2
162,162,2
163,163,2
164,164,1
165,165,1
166,166,1
167,167,2
168,168,0
169,169,2
170,170,2
171,171,0
172,172,0
173,173,0
174,174,2
175,175,2
176,176,1
177,177,1
178,178,1
179,179,2
180,180,2
181,181,2
182,182,1
183,183,1
184,184,2
185,185,2
186,186,2
187,187,2
188,188,1
189,189,1
190,190,1
191,191,1
192,192,2
193,193,0
194,194,1
195,195,2
196,196,2
197,197,0
198,198,2
199,199,1
200,200,2
201,201,2
202,202,2
203,203,0
204,204,2
205,205,2
206,206,1
207,207,2
208,208,2
209,209,2
210,210,2
211,211,2
212,212,0
213,213,1
214,214,2
215,215,2
216,216,0
217,217,2
218,218,1
219,219,1
220,220,1
221,221,2
222,222,0
223,223,2
224,224,0
225,225,1
226,226,1
227,227,1
228,228,1
229,229,2
230,230,1
231,231,2
232,232,1
233,233,1
234,234,2
235,235,1
236,236,0
237,237,2
238,238,2
239,239,2
240,240,1
241,241,2
242,242,1
243,243,2
244,244,2
245,245,1
246,246,2
247,247,1
248,248,0
249,249,1
250,250,2
251,251,1
252,252,0
253,253,1
254,254,2
255,255,0
256,256,2
257,257,2
258,258,1
259,259,0
260,260,2
261,261,1
262,262,1
263,263,1
264,264,0
265,265,1
266,266,1
267,267,2
268,268,1
269,269,1
270,270,0
271,271,2
272,272,2
273,273,2
274,274,2
275,275,1
276,276,1
277,277,1
278,278,1
279,279,1
280,280,1
281,281,2
282,282,1
283,283,0
284,284,1
285,285,1
286,286,2
287,287,2
288,288,0
289,289,2
290,290,1
291,291,1
292,292,2
293,293,2
294,294,1
295,295,2
296,296,0
297,297,0
298,298,1
299,299,2
300,300,2
301,301,1
302,302,1
303,303,0
304,304,0
305,305,0
306,306,1
307,307,2
308,308,1
309,309,2
310,310,0
311,311,2
312,312,2
313,313,2
314,314,1
315,315,2
316,316,0
317,317,2
318,318,2
319,319,0
320,320,1
321,321,2
322,322,1
323,323,0
324,324,2
325,325,1
326,326,2
327,327,2
328,328,1
329,329,2
330,330,2
331,331,1
332,332,2
333,333,2
334,334,0
335,335,1
336,336,1
337,337,1
338,338,1
339,339,0
340,340,0
341,341,2
342,342,0
343,343,2
344,344,0
345,345,2
346,346,1
347,347,2
348,348,1
349,349,2
350,350,1
351,351,1
352,352,1
353,353,1
354,354,1
355,355,2
356,356,1
357,357,1
358,358,2
359,359,1
360,360,1
361,361,2
362,362,0
363,363,2
364,364,2
365,365,2
366,366,0
367,367,2
368,368,2
369,369,1
370,370,1
371,371,2
372,372,1
373,373,0
374,374,2
375,375,2
376,376,1
377,377,0
378,378,0
379,379,2
380,380,2
381,381,2
382,382,2
383,383,2
384,384,0
385,385,0
386,386,2
387,387,0
388,388,1
389,389,1
390,390,1
391,391,0
392,392,2
393,393,0
394,394,2
395,395,1
396,396,1
397,397,1
398,398,1
399,399,1
400,400,1
401,401,2
402,402,0
403,403,2
404,404,1
405,405,2
406,406,2
407,407,2
408,408,0
409,409,0
410,410,2
411,411,2
412,412,2
413,413,1
414,414,2
415,415,1
416,416,2
417,417,1
418,418,2
419,419,2
420,420,1
421,421,1
422,422,2
423,423,1
424,424,2
425,425,2
426,426,2
427,427,1
428,428,1
429,429,1
430,430,2
431,431,1
432,432,0
433,433,2
434,434,1
435,435,2
436,436,2
437,437,1
438,438,1
439,439,2
440,440,2
441,441,2
442,442,1
443,443,2
444,444,1
445,445,1
446,446,1
447,447,0
448,448,1
449,449,1
450,450,2
451,451,2
452,452,2
453,453,2
454,454,1
455,455,2
456,456,2
457,457,1
458,458,2
459,459,0
460,460,0
461,461,1
462,462,2
463,463,2
464,464,1
465,465,1
466,466,2
467,467,2
468,468,1
469,469,1
470,470,1
471,471,1
472,472,1
473,473,2
474,474,1
475,475,2
476,476,0
477,477,1
478,478,0
479,479,1
480,480,0
481,481,2
482,482,1
483,483,1
484,484,0
485,485,2
486,486,0
487,487,1
488,488,2
489,489,0
490,490,0
491,491,1
492,492,1
493,493,1
494,494,1
495,495,2
496,496,2
497,497,2
498,498,0
499,499,2
500,500,2
501,501,2
502,502,1
503,503,0
504,504,2
505,505,1
506,506,2
507,507,2
508,508,2
509,509,1
510,510,2
511,511,1
512,512,2
513,513,1
514,514,1
515,515,1
516,516,1
517,517,1
518,518,1
519,519,1
520,520,0
521,521,2
522,522,2
523,523,1
524,524,2
525,525,1
526,526,2
527,527,2
528,528,2
529,529,1
530,530,1
531,531,0
532,532,1
533,533,2
534,534,1
535,535,1
536,536,0
537,537,0
538,538,2
539,539,0
540,540,0
541,541,2
542,542,0
543,543,2
544,544,1
545,545,2
546,546,1
547,547,1
548,548,2
549,549,0
550,550,2
551,551,2
552,552,1
553,553,1
554,554,1
555,555,1
556,556,0
557,557,2
558,558,2
559,559,2
560,560,1
561,561,0
562,562,1
563,563,1
564,564,0
565,565,0
566,566,1
567,567,1
568,568,2
569,569,0
570,570,1
571,571,1
572,572,2
573,573,0
574,574,1
575,575,2
576,576,1
577,577,2
578,578,1
579,579,1
580,580,0
581,581,1
582,582,1
583,583,1
584,584,0
585,585,2
586,586,2
587,587,0
588,588,1
589,589,0
590,590,2
591,591,1
592,592,0
593,593,2
594,594,2
595,595,2
596,596,2
597,597,0
598,598,1
599,599,2
600,600,1
601,601,1
602,602,0
603,603,2
604,604,1
605,605,2
606,606,1
607,607,2
608,608,1
609,609,2
610,610,0
611,611,0
612,612,1
613,613,1
614,614,1
615,615,2
616,616,0
617,617,0
618,618,2
619,619,2
620,620,1
621,621,0
622,622,2
623,623,0
624,624,2
625,625,2
626,626,2
627,627,1
628,628,1
629,629,0
630,630,2
631,631,2
632,632,2
633,633,2
634,634,1
635,635,2
636,636,1
637,637,0
638,638,2
639,639,2
